SSDSE-C-2024,2021-2023年,City,LA03,LB00,LB01,LB011001,LB012001,LB012002,LB013001,LB013002,LB013003,LB013004,LB013005,LB013006,LB013007,LB014001,LB014002,LB014003,LB02,LB021101,LB021102,LB021103,LB021104,LB021105,LB021106,LB021107,LB021108,LB021109,LB021110,LB021111,LB021112,LB021113,LB021114,LB021115,LB021116,LB021201,LB021202,LB021203,LB021204,LB021205,LB022001,LB022002,LB022003,LB022004,LB022006,LB023001,LB023002,LB023003,LB023004,LB024001,LB024002,LB024003,LB024004,LB024005,LB03,LB031001,LB031002,LB031003,LB031004,LB031005,LB032001,LB032002,LB032003,LB032004,LB04,LB041001,LB042001,LB042002,LB042003,LB042004,LB042005,LB043001,LB05,LB051101,LB051102,LB051103,LB051104,LB051105,LB051106,LB051107,LB051108,LB051201,LB051202,LB051203,LB051204,LB051205,LB051206,LB051207,LB051208,LB051209,LB051210,LB051301,LB051302,LB051303,LB051304,LB051305,LB051306,LB051307,LB051308,LB051309,LB051310,LB051311,LB052001,LB052002,LB052003,LB052004,LB052005,LB052006,LB053001,LB053002,LB053003,LB053004,LB054001,LB054002,LB054003,LB054004,LB054005,LB054006,LB054007,LB054008,LB06,LB061001,LB061002,LB061004,LB061005,LB061006,LB061007,LB061008,LB061009,LB061010,LB061011,LB061012,LB061013,LB061014,LB061015,LB062001,LB07,LB071001,LB071002,LB072001,LB072002,LB072003,LB072004,LB072005,LB072006,LB072007,LB072008,LB072009,LB072010,LB072011,LB072012,LB072013,LB072014,LB072015,LB072016,LB08,LB080001,LB080002,LB080003,LB080004,LB080005,LB080006,LB080007,LB080008,LB080009,LB080010,LB080011,LB080012,LB080013,LB080014,LB080015,LB080016,LB09,LB091001,LB091002,LB091003,LB091004,LB091005,LB092001,LB092002,LB092003,LB092004,LB092005,LB092006,LB092007,LB092008,LB092009,LB092010,LB092011,LB092012,LB10,LB101001,LB101002,LB101003,LB101004,LB102001,LB102002,LB102003,LB103001,LB103002,LB103003,LB103004,LB103005,LB103006,LB103007,LB11,LB110001,LB110002,LB110003,LB110004,LB110005,LB110006,LB110007,LB110008,LB12,LB121101,LB121102,LB121103,LB121104,LB121105,LB121106,LB121107,LB121108,LB121109,LB121110,LB121201,LB121202,LB122001
R28100,兵庫県,神戸市,2.79,1036379,82876,19348,13634,25052,3887,1950,1225,3975,4844,2233,899,563,1492,3775,73461,3222,1000,430,1469,1198,4647,785,361,2220,3403,1823,1424,3259,1827,9552,3865,341,181,1158,994,299,1885,1447,1357,355,6694,2602,1958,2795,1114,752,2276,1265,2539,2964,108878,34273,30806,19763,3488,3588,5382,6828,2411,2337,54151,17190,620,14256,1547,7195,717,12626,110819,2824,2005,1467,3692,2595,2403,980,7437,1500,2924,622,1723,2587,893,4387,1335,721,3549,2047,1601,2938,2094,9024,2511,1940,1884,1109,2256,5138,453,347,2720,1192,811,2707,5283,3377,3655,1225,1676,1346,1069,525,4553,966,442,2286,42114,5091,4106,646,2443,1235,3284,1183,832,1255,644,3431,5998,2734,5156,4075,45371,4691,737,365,1725,1662,1055,673,920,662,1313,1972,1488,1209,3869,2607,1334,5084,14004,94928,513,658,9380,841,7587,2197,1741,12083,5660,5355,4934,1713,7634,2022,10182,22428,147276,15404,15991,4706,6261,17679,3218,5763,2330,1875,11043,948,2005,1874,1377,8605,5058,43138,56500,2306,1441,1763,5830,7176,4050,296,6659,6744,5431,2740,3184,1065,7816,45777,5980,4373,12940,3376,3986,9419,4199,1504,174227,5478,4946,1981,12248,22924,7471,10668,6651,5312,67277,9284,13794,6192
R29201,奈良県,奈良市,2.83,1035966,81010,19532,12396,22910,3532,2652,1326,4178,4853,2279,608,787,1899,4058,78520,3816,904,428,1593,1585,5521,1026,403,1812,3700,1957,1519,3626,2386,6853,4665,375,219,803,993,257,2599,1818,2360,471,7244,2715,2161,2940,1266,902,2681,1025,2656,3242,112402,35264,32494,19874,4056,3220,5131,7576,2621,2164,53815,17272,500,13964,1540,6901,695,12943,113656,2821,2380,1615,3451,2596,2615,933,6934,1562,3222,789,1750,2558,960,4218,1203,763,3177,1900,1729,3159,2195,8043,2378,2289,1817,1217,2270,3939,369,286,2863,1418,813,3089,5317,3972,3650,1375,1754,1719,1149,478,6063,1617,587,2657,43759,4962,4418,566,2783,1417,3255,1473,1476,1589,662,4372,5787,2339,4690,3969,50010,5025,776,453,1957,1875,1126,837,947,680,1544,2245,1679,1354,4227,2904,1747,5667,14967,99317,517,1037,12102,889,7260,2059,1886,10944,7437,5162,5692,2277,7636,2426,10889,21105,145032,14123,18703,4543,6493,19686,3088,5261,2555,1585,10335,1119,2290,1662,1358,9920,4611,37700,58946,3141,947,1723,5701,8409,4296,462,7787,6129,5899,2360,3254,1465,7374,44800,5273,7387,10885,1412,2967,9935,5608,1334,154698,5529,5498,1912,15684,24074,5406,9531,5933,6716,48802,7952,8471,9189
R30201,和歌山県,和歌山市,2.81,887962,82976,23529,11494,24332,3408,1806,1067,4097,5521,2235,546,592,1707,2641,72237,4150,963,427,1788,716,4192,1234,399,1296,3568,1875,1328,3779,3526,6435,4311,271,239,826,748,279,1852,1303,3055,481,6457,2933,1792,3051,1150,905,1327,766,2130,2685,108277,35421,31776,18629,3315,3415,4147,7225,2050,2299,42914,13240,373,11245,1097,3997,501,12461,88717,2282,1849,1513,3135,2129,1991,864,4646,1285,2715,723,1451,1995,718,3759,793,542,2662,1546,1182,2717,1922,5997,1748,1714,1411,1037,1610,2547,539,313,2823,892,626,2348,4202,2368,2093,868,1332,2921,877,408,4337,1126,413,1749,35798,3720,4954,460,1880,1096,2572,1096,2413,1462,683,3083,5610,1524,3077,2169,42584,4081,741,376,1687,1553,1175,732,798,756,1591,1657,1249,1298,3195,2329,1634,5876,11856,81327,430,961,7442,900,6944,1767,1792,8156,4350,3476,4571,1888,5741,1820,9971,21114,130610,17065,16610,4216,4635,15610,3144,4494,2375,2142,10850,884,1890,2177,1847,8419,3131,31119,56983,2237,577,1617,6037,7413,5523,395,6880,5510,5862,2423,4588,1500,6421,36655,5381,4177,10385,1654,1061,8624,4479,895,108885,3453,3790,1320,10886,16981,3941,6634,4592,4574,40024,5042,3678,3969
R31201,鳥取県,鳥取市,2.99,899166,74554,19285,10906,19496,3414,1955,1252,3724,5474,3212,420,729,1560,3128,70147,1677,1073,930,1399,2907,4603,1027,459,702,3075,2526,754,3304,4338,5517,2409,346,546,1025,815,341,2202,1367,1014,226,8129,2047,3479,2297,2074,587,1809,721,1955,2466,91232,19619,29922,17761,4620,2574,4163,8032,2390,2152,47914,16375,690,11048,983,5169,528,13121,95423,2898,1936,1414,3160,2429,2405,1314,5636,1251,2669,509,1455,2369,928,3613,464,330,2965,1311,1082,3281,1872,7080,2014,1853,1871,1386,2058,3015,432,219,2400,1267,537,2446,5511,2899,3176,831,1568,1171,1065,1269,2713,1107,403,1843,41577,4263,3693,630,1630,7230,2968,1214,547,2449,834,2462,5956,1772,2961,2969,45349,4442,698,464,1922,1866,1518,693,845,742,1621,1943,927,1604,3503,2584,1863,5507,12606,90796,462,1834,9591,880,8487,1891,1707,8489,5411,4598,7543,2456,7432,2795,10377,16844,119710,15455,14209,4263,5613,13232,2222,3941,2108,1721,11501,658,1549,1924,1205,11196,1559,27353,52067,1528,473,1659,4824,7234,5508,393,6550,7135,4112,2495,2002,1390,6765,42868,5323,5722,10511,2493,2044,11492,4140,1144,127528,4385,5481,1367,14979,21562,3686,8139,6029,4634,27654,5299,7729,16583
R32201,島根県,松江市,2.97,932935,75233,19416,10856,18398,3789,2807,1423,4698,4989,2722,410,634,1720,3371,67399,1464,1918,737,1089,1861,4900,1275,292,1004,3706,2448,815,2446,1470,6048,2343,328,1624,590,634,641,1832,1186,1040,506,7113,2468,1529,3803,1371,726,2090,479,2656,2968,94849,20866,30529,18864,4102,3251,4440,7560,2570,2667,49382,17258,835,12350,1225,5769,579,11366,104493,3335,1902,1347,3570,2410,2265,1208,5668,1466,2773,736,1470,2642,1064,4081,729,509,3089,1294,1489,3594,1954,7558,2353,1887,1983,1386,2074,3193,687,344,2901,1562,900,2943,5432,3190,3550,1135,1689,1273,1064,549,4608,989,387,2262,39199,4909,3826,608,1991,3428,3344,1150,467,1380,1196,3001,5566,2148,3112,3074,48401,4706,724,387,2023,1983,1195,715,924,714,1645,2735,1379,1497,3916,2585,2041,5917,13317,87355,694,822,9281,515,7455,1815,1600,8149,5060,4793,6984,2440,5994,2161,10022,19568,133322,14992,15752,4911,5839,15238,2734,4747,2437,1830,11791,659,1820,1909,1530,11009,2119,34006,54901,2821,683,2030,5087,8212,4259,422,6121,7159,3670,3007,3715,1164,6551,43500,5457,6756,12467,1602,2705,8536,4774,1203,134900,6967,7429,2194,13661,20500,3432,6153,8140,5773,29171,5704,11189,14588
R33100,岡山県,岡山市,3.02,947976,76885,15918,10544,24955,3357,1798,1295,4262,5676,2338,484,654,1800,3803,60245,1745,923,303,1645,917,4569,764,404,1257,3186,1699,1048,3084,942,7016,2585,343,259,1312,870,258,1941,1226,872,247,5765,1968,1833,2280,1140,708,1497,586,1868,3186,95973,22721,30526,19027,4588,3725,3646,7155,2339,2246,47605,15684,863,12555,1233,5985,708,10578,88754,2757,1688,1305,3082,2016,2089,1026,5096,1280,2501,421,1219,2270,950,3755,790,318,2317,1049,1145,2529,1468,6821,1799,1560,1578,1248,1867,4344,271,230,2305,1071,434,2376,4428,2658,3386,782,1358,1043,889,484,3475,878,272,2125,39050,3618,3771,474,1738,1266,5026,623,3521,1077,595,2951,5793,1593,3768,3236,44451,4025,704,369,1618,1607,1015,610,972,610,1386,1951,1340,1315,4258,2393,1824,5023,13432,98670,556,1396,8398,629,8491,2241,1779,11621,4901,5009,6945,2502,6890,2418,11510,23384,142329,19487,13256,6513,6045,18944,2251,5472,1855,1917,11866,749,1779,2496,1313,9030,2312,37042,62716,1655,819,1707,6900,7867,5710,401,7371,6954,5068,3964,3408,1886,9005,38694,4084,6299,8038,1449,1646,10832,5211,1136,152606,6760,6970,2669,12072,18013,3560,7385,9903,5913,50255,7334,8249,13521
R34100,広島県,広島市,2.97,990979,80427,18881,11155,24559,3232,1914,1551,4557,5690,2585,573,714,1384,3633,64046,1897,1301,421,1410,868,4784,637,377,1462,2975,1840,1287,3178,1150,6143,3701,536,164,2019,796,452,1434,1459,732,236,6001,2082,1858,2924,1166,694,1583,518,2375,3584,106132,27192,32174,19453,4246,4124,5233,7974,2459,3278,50305,14888,857,13638,1515,6467,810,12132,97148,3015,1850,1281,3594,2351,2453,1026,6079,1113,2971,593,1421,2388,926,4037,1053,538,2564,1348,1371,3100,1666,6874,2156,1813,2010,1227,2066,3785,345,326,2971,998,647,2534,4598,2460,3335,886,1525,1093,1015,633,3783,918,333,2078,34469,4077,3033,478,1892,864,3086,831,862,1258,641,2901,5628,1636,3787,3493,46799,5101,693,437,1806,1958,961,622,1233,665,1571,2147,1307,1373,3814,2292,1822,5361,13635,93960,385,808,9340,580,8415,2391,1502,10144,4210,5309,6264,2649,7504,2464,10826,21168,154941,19579,14828,6289,6426,22626,1786,6370,2008,1885,13092,829,1783,2380,1110,9228,9193,35529,61114,1622,791,1744,6482,7917,5544,358,8039,8286,4149,3425,4003,1690,7064,49354,4520,7196,14298,1526,4397,10801,5011,1606,152283,6878,6139,2944,14176,23571,3511,8046,7527,7373,45235,7084,10942,8855
R35203,山口県,山口市,2.81,931268,73544,18234,10031,20829,3742,2078,1211,3427,5532,2650,449,772,1329,3260,71009,1418,2608,632,1123,1607,4643,1016,320,1830,4592,2273,1075,2919,1132,7411,3554,411,251,734,858,430,1532,1645,956,579,7372,2300,2333,4165,1401,667,1455,450,2367,2949,100960,29095,28501,18428,4052,3211,4393,7720,2791,2769,48743,15419,528,13354,1424,5882,666,11470,90179,2468,1512,1252,3140,2228,1691,978,4829,980,2525,606,1298,2391,1201,3627,940,378,2372,1049,1387,2871,1639,6111,1669,1901,2108,1353,1828,2516,405,284,2817,1269,760,2903,4789,2581,3581,703,1482,1046,1011,759,3568,968,603,1801,36399,4648,3580,357,2001,2586,3539,556,690,1419,728,3305,5628,1378,2819,3165,46253,4937,633,484,1861,2216,1322,753,903,679,1552,1789,1094,1412,3864,2404,2193,5215,12942,92358,426,1281,11387,754,7653,2161,2001,9974,5642,5017,6877,2270,7172,2823,10491,16427,138220,20703,14089,4813,7442,17237,1818,4820,1688,1675,12340,649,1721,1870,1590,10981,5047,29738,58825,2020,622,1858,6696,8024,5207,401,7084,7562,3753,3260,3333,1806,7199,47933,5007,8425,12065,2020,2751,11375,5034,1256,126844,6431,4747,1643,13850,22211,3173,11431,8574,5313,21282,5346,8067,14774
R36201,徳島県,徳島市,2.86,948477,75652,18423,10709,23008,3251,2677,1094,3244,5017,2062,431,625,1389,3723,66311,3312,772,208,2337,472,5042,669,303,1443,4042,1696,997,2706,1391,5589,3672,515,318,622,545,275,1987,1073,921,209,7457,2848,3030,2453,1319,905,1608,755,2102,2716,94353,28925,27097,17070,3832,3035,3856,6343,2207,1986,45284,15102,905,12282,1261,4915,591,10228,93793,2576,1577,1426,2863,2144,1870,996,5024,2117,2396,442,1380,2146,610,3599,895,489,2336,1277,1191,2786,1709,6866,1799,2181,1753,1287,1472,3732,369,191,3617,1688,737,2299,5932,2509,3046,949,1500,1092,1058,572,3977,885,359,2074,40140,4489,3918,498,3006,1809,3539,749,749,1391,762,4369,5314,1780,4301,3467,43191,4392,509,341,1787,2286,1013,645,877,626,1421,1902,1123,1213,3469,2432,1455,5479,12221,86463,417,1021,9173,793,7531,1509,1512,9823,4285,4299,5225,2132,6275,2295,9450,20721,146017,16376,17061,4845,6514,16492,2632,5309,2117,2246,13496,759,1795,2934,1459,8905,4926,38150,61163,2233,753,1420,6803,8188,4864,288,7188,7407,4156,3635,4042,2116,8069,39011,4683,5698,9986,1844,2850,8335,4091,1522,157098,7111,5694,1915,14083,24020,4658,9013,6632,7544,47550,7254,8082,13541
R37201,香川県,高松市,2.72,944594,75634,16106,11643,20156,6294,3420,1135,3859,4713,2428,455,655,1551,3218,69851,2059,1311,329,2261,986,4643,924,461,1575,4527,1821,1282,3433,1536,5889,2926,442,297,1573,956,203,1609,1221,980,257,6907,3764,2058,2996,1471,905,2391,708,2239,2912,95045,25899,27902,17755,3766,4004,4827,6734,2152,2006,45310,15345,890,12050,996,5068,699,10262,92065,2387,1919,1393,2884,2137,1884,967,5328,1187,2459,479,1382,2255,936,3402,927,495,2545,1285,1354,2690,1879,5721,1754,1959,1979,1142,1904,2300,351,192,2464,1255,780,2535,5765,3519,3024,1053,1694,1469,1024,596,3827,1064,416,2105,39410,4428,4181,557,2558,1851,3813,966,1365,1387,536,3755,5781,1501,3617,3116,44521,4375,648,427,1870,1979,1274,817,905,585,1410,2074,1176,1284,3798,2377,1482,5651,12391,88978,593,1505,10148,923,7449,2246,1601,10222,6028,4649,6420,2346,6306,2373,9502,16665,134763,17554,15169,4975,6302,15628,2489,5105,2238,2118,12885,680,1839,1773,1419,8780,4071,31737,61451,2224,681,1553,7789,7338,5927,433,7295,7597,3814,2862,4590,1609,7737,42210,4829,6080,10761,1992,2317,10854,4554,822,155358,15345,6418,2898,14263,32641,5676,14768,9113,5635,20541,7234,11420,9405
R38201,愛媛県,松山市,2.82,864265,73939,17237,9258,23869,3505,1990,1343,4043,4682,2238,526,723,1432,3093,67802,1743,1623,666,2033,565,4845,1019,487,2280,3030,1875,1161,3355,1438,7984,2804,485,191,924,826,223,1210,1165,1172,313,7028,3243,2849,3100,1300,831,1005,424,2018,2584,99198,27487,30631,17694,4030,3188,4700,6660,2124,2686,43322,14225,608,11165,1026,4580,552,11166,89810,2824,1562,1312,2783,2240,1913,1028,5004,1106,2566,747,1273,2337,1092,3592,1130,417,2769,1365,1308,2741,1596,6207,1620,1524,1752,1224,1499,4371,320,183,2585,1104,506,2517,5344,2547,3036,749,1647,981,922,331,3163,755,271,1944,39455,4024,4590,124,5891,1372,3378,1001,665,1249,697,2772,5419,1386,3922,2966,44084,4490,642,361,1747,2032,1134,804,982,589,1596,2011,1035,1449,3030,2210,1810,5415,12745,85115,608,643,8615,545,6648,1882,1357,8771,4597,3215,4739,1778,6022,2060,10211,23424,120426,13802,14882,3833,3564,14364,1824,3588,1878,1473,11089,571,1631,1694,987,8199,2310,34737,53354,2083,496,1152,4585,7488,4122,323,6635,6358,5031,2235,3354,1584,7909,38147,3729,5324,10612,1993,1420,9881,4234,952,109615,5806,3979,1017,9422,13935,2276,3415,6260,4988,39125,3971,6070,9351
R39201,高知県,高知市,2.85,969519,74224,19117,11375,20205,3481,1485,1125,3224,6270,2805,418,526,1040,3153,70583,3970,990,246,7541,330,3913,854,202,1604,3641,1944,1147,2704,1564,4315,1258,591,231,711,909,339,1633,959,2740,802,6645,3250,2320,3726,1395,1153,1409,369,2216,2962,88973,22733,26765,17142,4046,3326,3400,6977,2020,2565,45799,12463,1994,12376,934,4474,432,13127,90569,2801,1750,1461,2907,2436,1981,980,5717,1164,2231,483,1323,2026,813,3317,492,749,2288,1313,1368,2921,1475,8605,1734,1708,1476,1347,1591,3024,233,182,2288,1214,605,2187,5137,2335,2858,698,1742,925,1348,1809,2209,885,339,2097,38242,3701,4513,304,4572,2515,2648,719,681,1417,1112,3583,4848,1742,3393,2493,43410,3846,614,402,1539,1956,960,639,849,687,1437,2170,1003,1373,3718,2527,1853,6094,11744,91273,838,971,8270,792,8966,2136,1888,10091,3877,6090,7326,2212,7114,2719,11293,16688,154591,25906,16889,6316,5888,19338,2035,5810,1988,1564,14538,502,1464,2211,1577,12395,5088,31083,59747,1780,555,1578,7316,6261,5885,378,7691,7063,4789,3268,3128,1605,8449,44941,3569,4322,9232,2160,2564,16017,5893,1185,167168,6560,8787,2496,16590,24485,5425,12896,13793,7508,30086,5944,20488,12112
R40130,福岡県,福岡市,2.95,976208,78631,19986,9884,24897,2782,1751,1455,3806,4767,2557,652,641,1652,3802,66622,1389,1237,596,841,813,4200,950,264,1782,3332,1667,925,2952,1150,7098,5996,409,98,630,720,343,999,4647,683,392,6295,2146,1632,2471,1158,648,2087,496,2263,3313,103737,26317,31138,22143,3792,3907,4210,6853,2569,2808,47463,14160,1377,12032,1269,6807,596,11223,99844,2997,1538,1207,2983,2315,1950,1036,5953,1436,2960,789,1337,2300,1037,4076,805,716,2869,1328,1319,3008,1805,7183,2146,1667,1604,1235,1842,6604,476,499,3017,1349,698,2940,4376,2303,4287,729,1422,1100,967,500,4096,790,360,1890,36769,4750,3313,376,1537,1795,2575,1242,856,1237,463,3533,4744,1783,4541,4024,46526,4711,559,446,1761,2154,1121,738,772,731,1524,2183,1183,1280,3615,3540,1928,4917,13362,95718,648,1088,9059,692,8306,2005,1549,8520,4098,4232,5886,2399,6727,2319,11422,26766,132351,21948,12809,5185,6098,16471,1733,3741,1615,1694,10584,732,2055,2056,1495,7827,1816,34493,58771,3206,868,1698,6555,7728,4516,375,7634,7255,3067,2077,4117,987,8687,45117,5336,7973,9626,1871,4382,9427,4972,1530,164660,6751,6181,2066,12459,20164,3871,9260,6964,7108,54532,7582,13826,13896
R41201,佐賀県,佐賀市,2.82,913685,71160,19868,9057,20078,2645,1923,1180,3131,5249,2887,441,560,1401,2741,66312,1956,1711,533,765,1583,5161,835,285,2015,3571,1685,680,3045,1444,5564,4290,465,184,612,700,197,1708,2103,658,347,5466,3557,2472,2954,1455,892,2197,406,2247,2569,99473,26217,29569,19397,3959,3284,4914,6786,2324,3023,44205,13250,780,12458,1004,5253,435,11024,98073,2924,1689,1356,2999,2033,1772,1196,4518,1199,2684,763,1229,2226,1267,4154,1056,654,2642,952,1185,3129,1857,7590,1903,1785,1722,1346,1592,3335,490,384,5227,1095,619,2661,5114,3147,3971,742,1641,955,1134,558,4073,987,386,2129,32014,4135,3167,240,1692,1873,1913,713,582,1185,557,2691,5349,1507,2666,3744,44131,4181,575,397,1974,2147,1288,762,626,611,1557,2085,1038,1459,3709,2546,1719,5235,12223,86998,1250,1067,8780,855,6936,1958,1770,8509,4056,4751,6783,2739,6015,2465,10728,18336,136739,17213,13443,4987,6945,16663,2095,4787,1743,1616,12341,1033,1824,1779,1578,12717,4773,31204,58851,4936,544,1621,6729,6236,4603,299,6336,8020,4645,2833,2991,1386,7673,42618,5289,7197,10076,1706,2582,11327,3378,1062,133111,7008,6619,1978,12788,31086,3296,12854,8980,5156,19201,5430,9913,8801
R42201,長崎県,長崎市,2.83,928614,83248,25454,9801,24075,2794,2120,1264,4330,5718,2216,511,620,1457,2888,75465,1268,2442,665,1046,442,5031,840,216,1769,4298,1863,871,3400,1924,8642,5360,443,157,683,885,281,1037,1648,572,630,6521,4107,2237,5756,2109,734,1864,431,2229,3065,98043,23218,30844,18188,4704,3228,4265,7758,2929,2910,45017,13780,569,11214,1090,5716,498,12149,101892,3441,1449,1317,2647,2227,2073,1208,4878,1291,2969,742,1429,2126,1069,4021,798,663,3047,1299,1333,3217,1630,7499,1936,1780,1732,1086,1695,6724,365,479,3360,1389,1080,2737,4868,2821,3974,848,1528,1601,1173,622,4112,998,397,2215,38389,4694,3728,228,1497,1405,2429,1169,816,1435,734,3114,5956,2063,6071,3048,46697,4933,695,369,1982,2660,1280,688,713,720,1587,2281,1187,1329,3753,2742,1889,4882,13008,89643,449,1233,8196,5017,6363,2522,1364,8153,4033,3960,5595,2657,5689,1834,10635,21942,141027,18848,13270,4794,5307,16515,2316,3938,2100,1719,13296,571,2048,1943,1647,8473,4417,39823,58752,5040,652,1377,6823,6622,4016,324,7663,6442,5121,2711,3561,1223,7179,37529,4024,7211,9800,1489,2187,8481,3413,923,112911,3844,4658,1847,9465,14454,2489,5790,4388,4222,43146,4956,6230,7422
R43100,熊本県,熊本市,3.00,942704,72177,21074,8808,19920,2470,1844,1395,3237,5047,2720,543,675,1222,3223,59059,2161,1170,442,1090,544,4254,726,212,2321,2913,1581,885,3173,479,6125,5106,399,49,496,721,265,912,2125,640,221,5570,1892,1974,2306,1010,681,1408,529,2220,2459,105801,26483,30612,20691,4854,5591,3986,7741,2948,2895,45482,14254,622,10520,1335,6128,523,12101,93100,3020,1319,1092,2561,2100,1924,1142,4993,1013,2575,947,1208,2122,985,3999,700,392,2655,1132,1177,3265,1534,7084,2094,1720,1705,1307,1791,4021,423,349,2671,1253,524,2488,4572,2962,5136,605,1433,1115,788,406,3593,783,486,1941,32172,3191,2778,258,2975,1266,2291,659,427,1898,1216,2540,4664,1559,3255,3197,46345,4665,537,424,2074,2631,1087,812,774,751,1791,2337,920,1496,3726,2512,2054,4663,13092,91499,548,1206,8431,611,8924,2027,1650,8067,3846,4366,6505,2093,6608,2551,10959,23108,138682,22185,12620,4568,6548,16357,1423,4778,1494,1584,12123,614,1877,1950,1477,11064,3860,34163,57651,3935,636,1554,6795,6537,4510,256,6592,6906,5335,2280,3164,1389,7761,46516,3900,7347,10275,2340,4628,12859,3746,1421,154221,5109,5565,1904,13932,20301,3363,8057,7533,7520,47898,5733,12277,15028
R44201,大分県,大分市,2.77,919201,68058,18468,8513,19332,2658,1334,1175,3322,4788,2614,564,708,1319,3265,67958,1734,1819,796,878,993,4115,1037,392,1791,3713,1507,952,3070,1431,7502,5582,400,239,764,726,399,1211,1784,615,545,6665,2531,1889,2674,1266,689,2048,643,2440,3120,109792,30256,31832,21831,4529,3922,4459,7158,2469,3336,42970,12142,727,11073,996,5698,499,11836,95656,2940,1284,1254,2950,2233,1963,1082,5300,1163,2749,923,1351,2160,1177,3986,746,415,2400,1189,1073,3156,1640,6841,1860,1798,1806,1365,1554,4322,496,546,2565,1335,718,2645,4895,2824,4493,653,1599,1015,1025,543,4237,919,534,1935,36907,4144,4438,269,3000,1994,3471,806,538,952,692,2871,4656,1681,3360,4036,44162,4576,562,408,1956,2270,1237,985,639,683,1508,2070,985,1287,3866,2287,1830,4775,12240,87625,689,1287,7947,717,7890,1767,1729,8969,4708,4224,6564,2110,6671,2800,9560,19994,131184,19638,13230,4793,5556,14334,1783,3933,1641,1675,13487,510,1709,2000,1208,11016,2425,32247,56083,3593,845,1638,7412,6957,4942,378,6056,6827,2260,1965,4116,1222,7873,45925,3934,9237,11134,1626,3276,10746,4620,1351,132880,4804,5478,2071,12356,19294,2516,7537,11712,6406,33069,5600,10069,11968
R45201,宮崎県,宮崎市,2.84,903289,69087,20319,8304,19007,3193,1573,1108,3211,4864,2300,411,571,1254,2972,60898,2679,1874,589,2112,490,4025,1279,195,982,3169,1400,686,2410,1203,5812,3795,341,267,482,559,184,1167,1562,444,622,5957,3161,1561,2443,1138,768,2016,484,2339,2704,98237,24024,30620,20805,3556,2826,3768,6902,2199,3536,43661,13589,798,12642,1004,4985,478,10167,92879,3171,1426,1300,2764,2371,2159,916,4867,1179,2543,930,1232,2051,907,3915,373,491,2929,963,1311,3064,1715,7238,1751,2092,1665,1392,1525,4187,486,472,1942,1058,625,2240,5157,2657,4030,600,1607,966,1161,488,3470,886,438,2171,38703,4357,3576,201,3597,1553,2916,930,444,1280,1182,3054,5255,1421,6067,2870,44726,4586,438,402,1808,2663,1383,869,633,609,1505,2309,864,1329,3976,2352,1650,5622,11730,83411,423,1186,8039,701,6125,2070,1628,7367,4601,4148,5515,2284,6454,2196,10299,20375,143942,20171,13344,4746,5386,16118,2569,4862,1416,1913,13208,573,3912,1688,1578,9637,4693,38128,59704,4496,462,2294,7661,5440,4334,470,6136,6681,5764,2470,4037,1576,7883,44440,2702,11158,9790,1773,2657,11518,3778,1064,123602,5578,6223,1549,12186,18157,1396,6697,6553,5251,37490,4347,6877,11298
R46201,鹿児島県,鹿児島市,2.83,923259,74076,21573,8223,21118,2741,2240,1286,3599,4940,2422,506,534,1417,3478,63338,2429,1385,761,1478,347,4710,1378,140,1823,3292,1442,849,3103,983,5139,4327,402,198,395,805,348,1007,1143,495,500,4967,6324,1219,2421,1037,1143,1826,481,2703,2340,98602,23222,32165,20958,4084,2509,3678,6750,2470,2764,44652,13985,935,11506,1013,5518,515,11181,96224,3026,1447,1153,2656,2450,2049,1181,5341,1335,3014,807,1501,2552,1039,3921,387,572,2575,1049,1274,3218,1537,6702,1805,1824,1911,1293,1747,4328,573,700,2920,1419,914,2651,5056,2827,4524,610,1578,949,748,303,3125,1110,416,2107,34659,4295,3636,155,2523,1161,2297,1168,472,1343,853,3009,5628,1910,3153,3054,46267,5091,493,465,2367,2526,1562,1069,725,699,1590,2308,846,1437,3987,2515,1922,5186,11479,90543,493,1839,9788,713,7456,1708,1488,8387,4068,3593,5538,2235,6770,2209,10755,23504,127330,19715,12753,4448,4391,14598,3275,3829,1699,1761,11093,419,2535,2204,1146,9076,1299,33091,66423,5141,503,1493,6654,6270,3703,356,8109,6411,9950,2113,5170,1667,8882,40929,2701,11530,10631,1081,3109,7125,3878,874,140217,5753,6395,2239,12886,21938,2048,8670,7750,7175,40886,4803,8946,10728
